Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.3147499037891474,0.13876333559024284,0.08217114744860916,0.2743774709183853,0.2812492228753984,0.30577263311252295,-0.4302826828720771,0.4454835479259713,0.4593906089486697,0.02292919158935547
Random Forest,0.7456393081139553,0.6536513132257813,0.9997182579673396,0.7334385045918944,0.7311488890736312,0.7554464613636984,0.5776557045970692,0.9985283161507754,0.9975756358561544,0.27524232864379883
Extra Trees,0.6361617590464205,0.5688457647610353,0.9993064811503743,0.5937743333770312,0.5885060171442348,0.6501787248106601,0.4125771577541559,0.9323332846745848,0.8729096615185886,0.23955464363098145
XGBoost,0.5539664874197809,0.5246067526033997,0.7527930388045468,0.5409161201495243,0.5378085064750522,0.5616409620689934,0.13301659322422085,0.7739761377480403,0.7471091232637935,0.9988539218902588
LightGBM,0.6827070093506548,0.602013387789188,0.999891637679746,0.6563298396133088,0.6525072766733919,0.6949499687153767,0.48438108823572323,0.9977359553545609,0.997324247046912,4.1303181648254395
MLP (PyTorch),0.6829930416150942,0.6058394653801193,0.9715765633973754,0.6619355997980674,0.6585481555216047,0.6941320313861971,0.46068749732478154,0.9281651216815912,0.9100804744046038,0.8154439926147461
SVM (Linear),0.5704523470247443,0.5276969263759829,0.9999783275359492,0.49368754190287883,0.48577237607932927,0.5870315524963128,0.3030388933567666,0.53433381399802,0.45628330320005206,0.05944705009460449
SVM (RBF Kernel),0.5715548713894927,0.528346840010309,0.9996640768072126,0.4956360107110894,0.4877797387017965,0.5880793909830289,0.3045719579489006,0.6975597541020162,0.7004214605392014,309.61097407341003
