Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.9624705882352941,0.9680592257036198,0.9916004296455424,0.9796884285593005,0.9599615002787062,0.8246766193171533,0.7430284390930154,0.9761143852810195,0.9960203738672978,0.013083934783935547
Random Forest,0.9801862745098039,0.9859257125174729,0.9924597207303975,0.9891819266983197,0.9798632623815193,0.9221287367696931,0.872251526179325,0.9963449299412256,0.9996502081082204,0.15678715705871582
Extra Trees,0.9726960784313725,0.9801997043779709,0.9900859291084855,0.9851180138827289,0.9720042928084069,0.8904362229812091,0.8215086283658736,0.9923735761957061,0.999272834107372,0.13796663284301758
XGBoost,0.9806960784313725,0.9829155847596842,0.9961654135338346,0.9894961457416447,0.9800285604818778,0.9075209090141083,0.8735314215341176,0.996498441931474,0.9996653145139479,0.5804860591888428
LightGBM,0.9821274509803921,0.9842538065679877,0.996358754027927,0.9902692892791374,0.9815677148739937,0.9148085904971095,0.8833392351656225,0.9968936337633812,0.9997028258123677,2.0242650508880615
MLP (PyTorch),0.9750294117647059,0.9818545597735279,0.9909559613319012,0.9863842662632375,0.9744508418035419,0.899691463812018,0.8373350897729103,0.9948740040309441,0.9995121223065775,0.304703950881958
SVM (Linear),0.9599901960784314,0.9664930355402304,0.9905048335123523,0.9783516256173315,0.9572478969550715,0.8156456751831425,0.7248565628231416,0.9634946680505436,0.9950038962282384,0.03242015838623047
