Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.5898295195810564,0.5004819403795938,0.9889017781394464,0.6646070782352702,0.5512352911425143,0.6501577029414664,0.37817556690077236,0.7089926311996066,0.5949987040357394,0.01668095588684082
Random Forest,0.5502760701275046,0.4755507695068874,0.9175164915075229,0.6264244172301291,0.5137466948524753,0.605792200360161,0.25688726803333123,0.7544995179019899,0.7606444025058903,0.1847848892211914
Extra Trees,0.7887138547358834,0.6801386570804981,0.9172221548903163,0.7810862016852566,0.7897697298939769,0.8081405929488,0.610024169613323,0.9305994387515929,0.9258787255098447,0.1804211139678955
XGBoost,0.5016649590163934,0.45155538724921696,0.9909794483785516,0.6204108178418514,0.4168320853234065,0.5756351576510512,0.25018432469792634,0.9184835501059463,0.9004128817308882,0.7255511283874512
LightGBM,0.41845258424408016,0.4140484964939702,0.9998614886507263,0.5855975987547597,0.25557304943161135,0.5063447948405406,0.07182778077950915,0.8430805685132134,0.8551585092370392,2.3454039096832275
MLP (PyTorch),0.7962630919854281,0.7234284136068617,0.8163166369444397,0.7670706906369479,0.7976319184020516,0.7992946079862739,0.5905766602718244,0.922192872771133,0.9236545169904902,0.0379488468170166
SVM (Linear),0.5956782217668488,0.504141338736625,0.9821839776996728,0.6662869022380653,0.5607794734624356,0.6541067133838816,0.3795581259585459,0.7497335288954183,0.6457967506046981,0.046506404876708984
