Model,Train Time (s),Inference Time (s),Peak RAM (MB),Model Size (MB)
Logistic Regression,24.178038120269775,0.011556148529052734,1441.71875,0.0020971298217773438
Random Forest,8.234466075897217,0.13753485679626465,1963.46875,11.660958290100098
Extra Trees,7.299612283706665,0.13814687728881836,1994.59375,7.814827919006348
XGBoost,4.312591075897217,0.12130093574523926,2075.53125,0.8734855651855469
LightGBM,10.704235076904297,2.084796905517578,2316.890625,1.3582038879394531
MLP (PyTorch),64.11975884437561,0.1937870979309082,2591.546875,0.07559680938720703
SVM (Linear),50.49304485321045,0.028342008590698242,2198.625,0.003238677978515625
SVM (RBF Kernel),27.74337410926819,112.22882604598999,2170.765625,6.978682518005371
