Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.5888476206739527,0.8083772411669945,0.5888476206739527,0.4847330432017658,0.5727856206540994,0.6047392535732925,0.5251432481449267,0.8249309554774273,0.5667144402911244,0.012144804000854492
Random Forest,0.3991917122040073,0.5585725992698402,0.3991917122040073,0.2217081504267169,0.3583927445978315,0.32350123472582504,0.22654539387821027,0.7548133934240089,0.5139305034149161,0.17207813262939453
Extra Trees,0.6851164048269581,0.7994417973291389,0.6851164048269581,0.46222638801457216,0.6895618785485222,0.49037192367160065,0.5331976862537084,0.8539913749893562,0.6128286490866921,0.16280484199523926
XGBoost,0.3204192281420765,0.6246568781305882,0.3204192281420765,0.16990865294314797,0.2533518040651807,0.29009224416693535,0.18059903670692107,0.8820280064633479,0.6085097172933238,0.7095470428466797
LightGBM,0.23354252049180327,0.6361042969124402,0.23354252049180327,0.09907317841437117,0.09875257529484491,0.25320702525758876,0.05169370379905652,0.6706245229931496,0.5617947407926288,2.4414000511169434
MLP (PyTorch),0.6872723132969034,0.6459976141493332,0.6872723132969034,0.3955527789483025,0.6523128711637804,0.48971039339722433,0.5039324065563026,0.7632555606260821,0.5165045454806287,0.15165209770202637
SVM (Linear),0.5872822745901639,0.8071188955628907,0.5872822745901639,0.4950124925140935,0.5797921353905431,0.7108998947327378,0.5176778666140971,0.8441562568147074,0.5348003799348282,0.03141593933105469
SVM (RBF Kernel),0.3338527436247723,0.6489394086166393,0.3338527436247723,0.20720616212675175,0.35692052805261204,0.3793834918806904,0.05470438172765122,0.816993879297076,0.5264640141630643,155.48204493522644
