Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.2897922885701507,0.30164634486420927,0.2897922885701507,0.1262319387890441,0.2568916811468228,0.18850634439025835,-0.2467556952385654,,0.39262299409900864,0.016539812088012695
Random Forest,0.7353421465941358,0.9560542843939593,0.7353421465941358,0.6429133787098135,0.7901089862891015,0.8184382595089063,0.6710477489583063,,0.8459114815544074,0.2424030303955078
Extra Trees,0.5843587156631268,0.9463894430447178,0.5843587156631268,0.5280862433567087,0.649262734825582,0.7265624646757756,0.5428925744099955,,0.7139443061659556,0.22765684127807617
XGBoost,0.43824823440084043,0.7569103598595968,0.43824823440084043,0.42385326464337053,0.5195869618128734,0.6083906197034618,0.28841114368265525,,0.763062758505151,0.9839658737182617
LightGBM,0.6731847352381348,0.9519784101376384,0.6731847352381348,0.5910067425108846,0.7273216033424306,0.7775940863627883,0.6205997669247689,,0.8193787957415251,4.066942930221558
MLP (PyTorch),0.43283962430962214,0.833509301697354,0.43283962430962214,0.3021339468816915,0.5608830922545108,0.3550453910658966,0.3029290991811869,,0.588838820489564,0.17324113845825195
SVM (Linear),0.1293749934992667,0.6340514499084273,0.1293749934992667,0.10246639724703267,0.18235937820524753,0.23452465575007087,0.04404565824946845,,0.45270164247311545,0.04302501678466797
SVM (RBF Kernel),0.521811260310163,0.7959282086636384,0.521811260310163,0.36070335195337405,0.4927772150122643,0.3917341136592887,0.3390936661137654,,0.5308555035795665,218.9937882423401
