Model,Train Time (s),Inference Time (s),Peak RAM (MB),Model Size (MB),Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC
Logistic Regression,24.178038120269775,0.011556148529052734,1441.71875,0.0020971298217773438,0.9284313725490196,0.9295396403169669,0.9284313725490196,0.8973094831030031,0.9271048655255267,0.8849484447251891,0.8652150664343609,0.9880886006686316,0.9514264209149853
Random Forest,8.234466075897217,0.13753485679626465,1963.46875,11.660958290100098,0.9510686274509804,0.9528094705941687,0.9510686274509804,0.9429095875312139,0.9514280504552398,0.9411050249778725,0.9090202059140252,0.9963289123822581,0.9859004680578467
Extra Trees,7.299612283706665,0.13814687728881836,1994.59375,7.814827919006348,0.8920098039215686,0.8900469367122424,0.8920098039215686,0.8917929155090207,0.889868852999387,0.8778954914886401,0.7927264014371928,0.9908825760378283,0.9678111762327144
XGBoost,4.312591075897217,0.12130093574523926,2075.53125,0.8734855651855469,0.952,0.9547807209958883,0.952,0.9432686569129383,0.9522590661753321,0.9364919774795595,0.9110467183047668,0.9965179883802066,0.9864778766256868
LightGBM,10.704235076904297,2.084796905517578,2316.890625,1.3582038879394531,0.9536274509803921,0.9562245329912625,0.9536274509803921,0.9463513120952525,0.9539212824750452,0.9403143157291782,0.9140384351688392,0.9967387505330179,0.9876862058760383
MLP (PyTorch),64.11975884437561,0.1937870979309082,2591.546875,0.07559680938720703,0.946,0.9479771201264875,0.946,0.9322460473789771,0.9462959051100205,0.9290810161344194,0.8996022933604684,0.9956436111090579,0.981483835745019
SVM (Linear),50.49304485321045,0.028342008590698242,2198.625,0.003238677978515625,0.9256078431372549,0.926380263322362,0.9256078431372549,0.8930192150112547,0.9240820106075233,0.8795329814652456,0.8597617602039433,0.9837832919527991,0.9403111614697742
SVM (RBF Kernel),27.74337410926819,112.22882604598999,2170.765625,6.978682518005371,0.8105980392156863,0.8128367122606326,0.8105980392156863,0.5628495028470695,0.7987442914459408,0.5410344458606059,0.6270490966276681,0.9638994404134936,0.8689111268200751
