,precision,recall,f1-score,support
BENIGN,0.9992735362891325,0.4401567952961411,0.6111265376391859,100003.0
Bot,0.1362418151362875,0.9428812308989356,0.23808193296877286,9489.0
DDoS,0.9869681591919289,0.9842621445998503,0.9856132945495008,82794.0
accuracy,0.6992448748218799,0.6992448748218799,0.6992448748218799,0.6992448748218799
macro avg,0.7074945035391162,0.7891000569316423,0.6116072550524865,192286.0
weighted avg,0.9513859137195996,0.6992448748218799,0.7539629183320864,192286.0
