,precision,recall,f1-score,support
BENIGN,0.978259283577734,0.32393974899440736,0.4867106469088302,82787.0
Bot,0.0,0.0,0.0,391.0
DDoS,0.09090909090909091,0.00023432923257176333,0.0004674535468037864,25605.0
PortScan,0.2830319826764216,1.0,0.4411924043951159,31761.0
accuracy,0.41684454690346084,0.41684454690346084,0.41684454690346084,0.41684454690346084
macro avg,0.3380500892908116,0.33104351955674477,0.23209262621268748,140544.0
weighted avg,0.65676412642349,0.41684454690346084,0.38648391556879347,140544.0
