Num_Features,Model,Train_Time_s,Dataset,Evaluation_Type,Accuracy,F1_Score
10,Logistic Regression,3.99,CICIDS-2017 (Within),Multiclass,0.9352,0.9212
10,Logistic Regression,3.99,CICIDS-2017 (Within),Binary,0.9681,0.983
10,Logistic Regression,3.99,CICIDS-2018 (Cross),Multiclass,0.4262,0.4654
10,Logistic Regression,3.99,CICIDS-2018 (Cross),Binary,0.8911,0.9391
10,Logistic Regression,3.99,LycoS-2018 (Cross),Multiclass,0.3765,0.3823
10,Logistic Regression,3.99,LycoS-2018 (Cross),Binary,0.5665,0.683
10,Random Forest,3.42,CICIDS-2017 (Within),Multiclass,0.9964,0.9964
10,Random Forest,3.42,CICIDS-2017 (Within),Binary,0.9968,0.9983
10,Random Forest,3.42,CICIDS-2018 (Cross),Multiclass,0.3958,0.4606
10,Random Forest,3.42,CICIDS-2018 (Cross),Binary,0.3962,0.5091
10,Random Forest,3.42,LycoS-2018 (Cross),Multiclass,0.785,0.7635
10,Random Forest,3.42,LycoS-2018 (Cross),Binary,0.785,0.7371
10,Extra Trees,1.1,CICIDS-2017 (Within),Multiclass,0.9543,0.9467
10,Extra Trees,1.1,CICIDS-2017 (Within),Binary,0.9756,0.9869
10,Extra Trees,1.1,CICIDS-2018 (Cross),Multiclass,0.5912,0.5369
10,Extra Trees,1.1,CICIDS-2018 (Cross),Binary,0.7254,0.832
10,Extra Trees,1.1,LycoS-2018 (Cross),Multiclass,0.2961,0.223
10,Extra Trees,1.1,LycoS-2018 (Cross),Binary,0.3205,0.4703
10,XGBoost,4.0,CICIDS-2017 (Within),Multiclass,0.9993,0.9993
10,XGBoost,4.0,CICIDS-2017 (Within),Binary,0.9994,0.9997
10,XGBoost,4.0,CICIDS-2018 (Cross),Multiclass,0.107,0.0342
10,XGBoost,4.0,CICIDS-2018 (Cross),Binary,0.1078,0.0441
10,XGBoost,4.0,LycoS-2018 (Cross),Multiclass,0.5197,0.356
10,XGBoost,4.0,LycoS-2018 (Cross),Binary,0.52,0.0016
10,LightGBM,3.41,CICIDS-2017 (Within),Multiclass,0.9991,0.9991
10,LightGBM,3.41,CICIDS-2017 (Within),Binary,0.9992,0.9996
10,LightGBM,3.41,CICIDS-2018 (Cross),Multiclass,0.1359,0.0801
10,LightGBM,3.41,CICIDS-2018 (Cross),Binary,0.1579,0.1439
10,LightGBM,3.41,LycoS-2018 (Cross),Multiclass,0.5197,0.3577
10,LightGBM,3.41,LycoS-2018 (Cross),Binary,0.528,0.0339
10,MLP (PyTorch),33.51,CICIDS-2017 (Within),Multiclass,0.9886,0.9884
10,MLP (PyTorch),33.51,CICIDS-2017 (Within),Binary,0.9918,0.9956
10,MLP (PyTorch),33.51,CICIDS-2018 (Cross),Multiclass,0.5283,0.5857
10,MLP (PyTorch),33.51,CICIDS-2018 (Cross),Binary,0.6726,0.7845
10,MLP (PyTorch),33.51,LycoS-2018 (Cross),Multiclass,0.6198,0.6327
10,MLP (PyTorch),33.51,LycoS-2018 (Cross),Binary,0.6588,0.6658
20,Logistic Regression,3.57,CICIDS-2017 (Within),Multiclass,0.9593,0.9572
20,Logistic Regression,3.57,CICIDS-2017 (Within),Binary,0.9797,0.9891
20,Logistic Regression,3.57,CICIDS-2018 (Cross),Multiclass,0.5171,0.5969
20,Logistic Regression,3.57,CICIDS-2018 (Cross),Binary,0.8959,0.9411
20,Logistic Regression,3.57,LycoS-2018 (Cross),Multiclass,0.2601,0.2229
20,Logistic Regression,3.57,LycoS-2018 (Cross),Binary,0.2989,0.1033
20,Random Forest,4.89,CICIDS-2017 (Within),Multiclass,0.9993,0.9993
20,Random Forest,4.89,CICIDS-2017 (Within),Binary,0.9993,0.9996
20,Random Forest,4.89,CICIDS-2018 (Cross),Multiclass,0.2866,0.3321
20,Random Forest,4.89,CICIDS-2018 (Cross),Binary,0.2868,0.3589
