Num_Features,Model,Train_Time_s,Dataset,Evaluation_Type,Accuracy,F1_Score
20,MLP (PyTorch),34.79,CICIDS-2018 (Within),Binary,0.969,0.9832
20,MLP (PyTorch),34.79,CICIDS-2017 (Cross),Multiclass,0.6583,0.6799
20,MLP (PyTorch),34.79,CICIDS-2017 (Cross),Binary,0.7183,0.7059
20,MLP (PyTorch),34.79,LycoS-2018 (Cross),Multiclass,0.505,0.5355
20,MLP (PyTorch),34.79,LycoS-2018 (Cross),Binary,0.5524,0.6819
30,Logistic Regression,25.05,CICIDS-2018 (Within),Multiclass,0.9132,0.9107
30,Logistic Regression,25.05,CICIDS-2018 (Within),Binary,0.9524,0.9742
30,Logistic Regression,25.05,CICIDS-2017 (Cross),Multiclass,0.6354,0.6436
30,Logistic Regression,25.05,CICIDS-2017 (Cross),Binary,0.6454,0.669
30,Logistic Regression,25.05,LycoS-2018 (Cross),Multiclass,0.196,0.2455
30,Logistic Regression,25.05,LycoS-2018 (Cross),Binary,0.6235,0.7182
30,Random Forest,9.47,CICIDS-2018 (Within),Multiclass,0.9495,0.9497
30,Random Forest,9.47,CICIDS-2018 (Within),Binary,0.9783,0.9882
30,Random Forest,9.47,CICIDS-2017 (Cross),Multiclass,0.4841,0.4605
30,Random Forest,9.47,CICIDS-2017 (Cross),Binary,0.6544,0.6963
30,Random Forest,9.47,LycoS-2018 (Cross),Multiclass,0.6634,0.718
30,Random Forest,9.47,LycoS-2018 (Cross),Binary,0.6729,0.7457
30,Extra Trees,3.06,CICIDS-2018 (Within),Multiclass,0.9336,0.9327
30,Extra Trees,3.06,CICIDS-2018 (Within),Binary,0.9696,0.9835
30,Extra Trees,3.06,CICIDS-2017 (Cross),Multiclass,0.7178,0.7363
30,Extra Trees,3.06,CICIDS-2017 (Cross),Binary,0.7184,0.6765
30,Extra Trees,3.06,LycoS-2018 (Cross),Multiclass,0.5528,0.5842
30,Extra Trees,3.06,LycoS-2018 (Cross),Binary,0.6,0.7058
30,XGBoost,9.19,CICIDS-2018 (Within),Multiclass,0.9489,0.9491
30,XGBoost,9.19,CICIDS-2018 (Within),Binary,0.9776,0.9878
30,XGBoost,9.19,CICIDS-2017 (Cross),Multiclass,0.3246,0.2595
30,XGBoost,9.19,CICIDS-2017 (Cross),Binary,0.5058,0.6224
30,XGBoost,9.19,LycoS-2018 (Cross),Multiclass,0.477,0.5567
30,XGBoost,9.19,LycoS-2018 (Cross),Binary,0.5643,0.6607
30,LightGBM,8.37,CICIDS-2018 (Within),Multiclass,0.9507,0.9509
30,LightGBM,8.37,CICIDS-2018 (Within),Binary,0.9792,0.9887
30,LightGBM,8.37,CICIDS-2017 (Cross),Multiclass,0.2401,0.112
30,LightGBM,8.37,CICIDS-2017 (Cross),Binary,0.4231,0.5863
30,LightGBM,8.37,LycoS-2018 (Cross),Multiclass,0.5933,0.6527
30,LightGBM,8.37,LycoS-2018 (Cross),Binary,0.6178,0.7053
30,MLP (PyTorch),39.52,CICIDS-2018 (Within),Multiclass,0.9392,0.9394
30,MLP (PyTorch),39.52,CICIDS-2018 (Within),Binary,0.9693,0.9832
30,MLP (PyTorch),39.52,CICIDS-2017 (Cross),Multiclass,0.6498,0.6206
30,MLP (PyTorch),39.52,CICIDS-2017 (Cross),Binary,0.7387,0.7068
30,MLP (PyTorch),39.52,LycoS-2018 (Cross),Multiclass,0.4361,0.505
30,MLP (PyTorch),39.52,LycoS-2018 (Cross),Binary,0.4461,0.5116
40,Logistic Regression,31.14,CICIDS-2018 (Within),Multiclass,0.9139,0.9115
40,Logistic Regression,31.14,CICIDS-2018 (Within),Binary,0.9534,0.9748
40,Logistic Regression,31.14,CICIDS-2017 (Cross),Multiclass,0.6629,0.6773
40,Logistic Regression,31.14,CICIDS-2017 (Cross),Binary,0.673,0.6924
