Model,Train Time (s),Inference Time (s),Peak RAM (MB),Model Size (MB),Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC
Logistic Regression,52.87519598007202,0.019807815551757812,1502.09375,0.0033025741577148438,0.9116764705882353,0.918981445840798,0.9116764705882353,0.8966906863404643,0.913951620393699,0.9220321083683162,0.8396195012530147,0.9870482726832813,0.9500205396061554
Random Forest,6.73902702331543,0.162308931350708,1961.0,14.80092716217041,0.934235294117647,0.9423392568670905,0.934235294117647,0.9191883793591056,0.9360432773938663,0.9494141195834849,0.8805839473735205,0.9950896592903465,0.9823946441596011
Extra Trees,6.95268702507019,0.14384078979492188,1830.4375,12.12886905670166,0.9147843137254902,0.9248684995407873,0.9147843137254902,0.9051218050268337,0.917538044380793,0.9362619894462794,0.8475640800277865,0.9884271540261025,0.9585555768884699
XGBoost,4.718551158905029,0.12517404556274414,1888.296875,0.9191694259643555,0.9398333333333333,0.9455637614088787,0.9398333333333333,0.9277218615239612,0.9412343673719741,0.9533126157750728,0.8901982740167329,0.9956281041097552,0.9845128907557805
LightGBM,10.304789066314697,2.1342720985412598,2079.9375,1.3590278625488281,0.941764705882353,0.9468681798395165,0.941764705882353,0.9303998274866192,0.943031597554886,0.9541681373202916,0.8934770147741041,0.9959043857300605,0.9855279138657076
MLP (PyTorch),65.83657002449036,0.24995207786560059,2025.40625,0.07462024688720703,0.9337843137254902,0.9412474767950791,0.9337843137254902,0.9198359017058247,0.9354814399321916,0.9491908509826319,0.8796025030781254,0.9946440676641667,0.9788403956461802
