Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.6507926343351548,0.7457731783880636,0.6507926343351548,0.48647730512202325,0.6646519565788296,0.5407748590773734,0.49556731298991763,0.8254901426221257,0.5446684428034587,0.036950111389160156
Random Forest,0.7803392531876139,0.660567861807626,0.7803392531876139,0.44120121552441993,0.7080623542076079,0.48561916505139946,0.6116610316278402,0.869025489023924,0.6146414759273799,0.1916201114654541
Extra Trees,0.7935521971766849,0.6811350556221505,0.7935521971766849,0.4506551593059469,0.7234247680591502,0.4923440462140384,0.6358238016251085,0.8787807473892173,0.6190056565094638,0.21484899520874023
XGBoost,0.7141678051001822,0.6886095503087334,0.7141678051001822,0.4459811643683767,0.675699405153989,0.4805838724790794,0.5013112190225646,0.7843199613560254,0.5579359707747558,0.7596559524536133
LightGBM,0.5974854849726776,0.4583557271975523,0.5974854849726776,0.2303635528846705,0.47028777797089644,0.2717428573620867,0.11472769636811739,0.6685863126697689,0.4970542925040073,2.7268481254577637
MLP (PyTorch),0.731507570582878,0.8107032718636475,0.731507570582878,0.45628897024273685,0.7038963012672729,0.5128593283763057,0.5633040359251661,0.811169008757729,0.5755363665613701,0.1151888370513916
