,precision,recall,f1-score,support
BENIGN,0.09491833030852995,0.9989887640449439,0.17336453153943648,8900.0
Bot,0.0,0.0,0.0,27483.0
DDoS,0.9996835443037975,0.09931307669333668,0.18067689491971345,63617.0
PortScan,0.9960159362549801,1.0,0.998003992015968,2000.0
accuracy,0.1687156862745098,0.1687156862745098,0.1687156862745098,0.1687156862745098
macro avg,0.5226544527168269,0.5245754601845701,0.3380113546187795,102000.0
weighted avg,0.6513105201002996,0.1687156862745098,0.14738308175333656,102000.0
