,precision,recall,f1-score,support
BENIGN,0.5204390317558667,0.9995200143995681,0.6844779533112832,100003.0
Bot,0.0,0.0,0.0,9489.0
DDoS,0.788546255506608,0.002161992414909293,0.004312161983112707,82794.0
accuracy,0.5207555412250502,0.5207555412250502,0.5207555412250502,0.5207555412250502
macro avg,0.43632842908749153,0.33389400227149246,0.229596705098132,192286.0
weighted avg,0.6101971187246916,0.5207555412250502,0.35783608741259426,192286.0
