Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.4726189114132074,0.27209731087433164,0.4726189114132074,0.16121970401759522,0.3351031027806837,0.3030124959316982,-0.14358597625387698,,0.44725838004301854,0.0176088809967041
Random Forest,0.5201262702432834,0.7428252043283009,0.5201262702432834,0.2288777864604459,0.35600830475323464,0.33371710526039133,0.009491627705823635,,0.5578433688418535,0.23570585250854492
Extra Trees,0.5210051693831064,0.7392040301431345,0.5210051693831064,0.22976822361742955,0.35799568044534846,0.33408856392579017,0.031298879370327354,,0.6107121354295136,0.2269279956817627
XGBoost,0.5357696348148071,0.32315694297834074,0.5357696348148071,0.3357469920225147,0.3901206125218135,0.4923533605686072,0.15246669613662164,,0.6706884422242081,1.2350528240203857
LightGBM,0.5121433697721103,0.26848188784563065,0.5121433697721103,0.16934352258188773,0.3522848317351553,0.32825015249542516,-0.0778737447316423,,0.6444781509091627,3.6247661113739014
MLP (PyTorch),0.5067971667204061,0.3065179910229927,0.5067971667204061,0.1719117873678037,0.35667981040564933,0.32514782993111896,-0.05680920502156799,,0.4111708228484085,0.13891005516052246
SVM (Linear),0.4786359901396878,0.30157637299953044,0.4786359901396878,0.1634399303355716,0.3379832381575236,0.3076507622827125,-0.10629393089703745,,0.4198755818788342,0.04867672920227051
