Model,Train Time (s),Inference Time (s),Peak RAM (MB),Model Size (MB),Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC
Logistic Regression,7.34790301322937,0.01150822639465332,1072.828125,0.0020971298217773438,0.98206,0.9818822983106691,0.98206,0.937791965846742,0.9817345382158863,0.9355459033673708,0.965595626185214,0.9962239555635138,0.9720890041392479
Extra Trees,6.836546182632446,0.14760708808898926,1458.5,4.122139930725098,0.98759,0.9875492827551445,0.98759,0.9590763058767675,0.9872694033480793,0.9509889181738633,0.9762232221242015,0.999265314792579,0.9912561007886721
LightGBM,10.708124160766602,2.019731044769287,1629.125,1.3685646057128906,0.99959,0.9995899590268361,0.99959,0.9987290170022165,0.9995899710253879,0.9987080998480133,0.999215470662409,0.9999919406282654,0.9998622352081079
