Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,BENIGN,0.4964003982538102,0.9073827785166445,0.6417304040650492,100003.0
Logistic Regression,Bot,0.0,0.0,0.0,9489.0
Logistic Regression,DDoS,0.03235710911667454,0.0016547092784501291,0.0031484120053316173,82794.0
Logistic Regression,PortScan,0.0,0.0,0.0,0.0
Logistic Regression,macro avg,0.1321893768426212,0.22725937194877366,0.16121970401759522,192286.0
Logistic Regression,weighted avg,0.27209731087433164,0.4726189114132074,0.3351031027806837,192286.0
Random Forest,BENIGN,0.5201017308812516,0.999980000599982,0.6842939012915918,100003.0
Random Forest,Bot,0.8461538461538461,0.0011592370112762146,0.002315302041675437,9489.0
Random Forest,DDoS,1.0,1.2078169915694374e-05,2.415604807053566e-05,82794.0
Random Forest,macro avg,0.7887518590116992,0.33371710526039133,0.2288777864604459,192286.0
Random Forest,weighted avg,0.7428252043283009,0.5201262702432834,0.35600830475323464,192286.0
Extra Trees,BENIGN,0.5205599254543277,0.999950001499955,0.6846833276275248,100003.0
Extra Trees,Bot,1.0,0.00010538518284329223,0.00021074815595363542,9489.0
Extra Trees,DDoS,0.973404255319149,0.0022103050945720703,0.004410595068810103,82794.0
Extra Trees,macro avg,0.8313213935911589,0.33408856392579017,0.22976822361742955,192286.0
Extra Trees,weighted avg,0.7392040301431345,0.5210051693831064,0.35799568044534846,192286.0
XGBoost,BENIGN,0.5290607901263793,0.9833305000849974,0.6879722393238932,100003.0
XGBoost,Bot,0.9727990033222591,0.4937295816208241,0.6550157287661657,9489.0
XGBoost,DDoS,0.0,0.0,0.0,82794.0
XGBoost,PortScan,0.0,0.0,0.0,0.0
XGBoost,macro avg,0.3754649483621596,0.36926502042645537,0.3357469920225147,192286.0
XGBoost,weighted avg,0.32315694297834074,0.5357696348148071,0.3901206125218135,192286.0
LightGBM,BENIGN,0.5162375957349773,0.9847504574862754,0.6773740903275509,100003.0
LightGBM,Bot,0.0,0.0,0.0,9489.0
LightGBM,DDoS,0.0,0.0,0.0,82794.0
LightGBM,PortScan,0.0,0.0,0.0,0.0
LightGBM,macro avg,0.12905939893374432,0.24618761437156886,0.16934352258188773,192286.0
LightGBM,weighted avg,0.26848188784563065,0.5121433697721103,0.3522848317351553,192286.0
MLP (PyTorch),BENIGN,0.5200720728450541,0.9697909062728118,0.6770571172259242,100003.0
MLP (PyTorch),Bot,0.0,0.0,0.0,9489.0
MLP (PyTorch),DDoS,0.08370595600071544,0.005652583520544967,0.01059003224529049,82794.0
MLP (PyTorch),PortScan,0.0,0.0,0.0,0.0
MLP (PyTorch),macro avg,0.15094450721144237,0.2438608724483392,0.1719117873678037,192286.0
MLP (PyTorch),weighted avg,0.3065179910229927,0.5067971667204061,0.35667981040564933,192286.0
SVM (Linear),BENIGN,0.4994999130283528,0.9188924332270032,0.647192847156928,100003.0
SVM (Linear),Bot,0.006551362683438155,0.002634629571082306,0.003757985719654265,9489.0
SVM (Linear),DDoS,0.0963265306122449,0.0014252240500519362,0.002808888465704186,82794.0
SVM (Linear),PortScan,0.0,0.0,0.0,0.0
SVM (Linear),macro avg,0.15059445158100898,0.23073807171203436,0.1634399303355716,192286.0
SVM (Linear),weighted avg,0.30157637299953044,0.4786359901396878,0.3379832381575236,192286.0
