Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,BENIGN,0.9354743665291692,0.838394507525746,0.884277955716474,7574.0
Logistic Regression,Bot,0.8516678495386799,0.9097801364670205,0.8797653958944281,2638.0
Logistic Regression,DDoS,0.9888737190653296,0.995293151377306,0.9920730507340497,63312.0
Logistic Regression,PortScan,0.9914138952420232,0.9987158180994108,0.9950514610420156,26476.0
Logistic Regression,macro avg,0.9418574575938006,0.9355459033673708,0.937791965846742,100000.0
Logistic Regression,weighted avg,0.9818822983106691,0.98206,0.9817345382158863,100000.0
Extra Trees,BENIGN,0.9763649962602842,0.8617639292315817,0.9154919699838698,7574.0
Extra Trees,Bot,0.914401175606172,0.9435178165276725,0.9287313432835821,2638.0
Extra Trees,DDoS,0.9875647506709105,0.9997314885013899,0.9936108756396973,63312.0
Extra Trees,PortScan,0.9980000754688503,0.9989424384348089,0.9984710345999207,26476.0
Extra Trees,macro avg,0.9690827495015542,0.9509889181738633,0.9590763058767675,100000.0
Extra Trees,weighted avg,0.9875492827551445,0.98759,0.9872694033480793,100000.0
LightGBM,BENIGN,0.9980184940554822,0.9974914180089781,0.9977548864236662,7574.0
LightGBM,Bot,0.9973474801061007,0.9977255496588324,0.997536479060072,2638.0
LightGBM,DDoS,0.9997473072428061,0.9998420520596412,0.9997946774066178,63312.0
LightGBM,PortScan,0.9998866769916519,0.9997733796646019,0.9998300251185103,26476.0
LightGBM,macro avg,0.9987499895990102,0.9987080998480133,0.9987290170022165,100000.0
LightGBM,weighted avg,0.9995899590268361,0.99959,0.9995899710253879,100000.0
