Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.39003921568627453,0.8646254292200736,0.39003921568627453,0.3320808505552431,0.45385779784364194,0.6066074346599566,0.2870066738084247,0.8009578246870289,0.5966079471055059,0.009492158889770508
Random Forest,0.10816666666666666,0.7363284781455428,0.10816666666666666,0.29192007122563546,0.03655760623804264,0.5004311853211205,0.14561103305106093,0.8474478962764674,0.7168061601727,0.14214110374450684
Extra Trees,0.34555882352941175,0.700790102867363,0.34555882352941175,0.4393233353100334,0.3855894109737786,0.5818788505713959,0.27037158193112387,0.866041027538283,0.7563457909397918,0.12719273567199707
XGBoost,0.1375,0.2958011022796619,0.1375,0.33673038993657056,0.08900434485219565,0.5281607567824358,0.20096179344823775,0.647136369386701,0.5700935760363575,0.7058103084564209
LightGBM,0.10676470588235294,0.02719145910450673,0.10676470588235294,0.2897048010258027,0.03376864526925804,0.4997191011235955,0.1452570604087966,0.6655232202782005,0.5896102975067377,1.9614520072937012
MLP (PyTorch),0.18559803921568627,0.76451932622617,0.18559803921568627,0.17076585669765004,0.16308311816169743,0.5299135791384014,0.14795977389167797,0.6840074692432319,0.49923980657247546,0.17521095275878906
SVM (Linear),0.38445098039215686,0.8584508317217959,0.38445098039215686,0.3291458627852868,0.44981118308820184,0.5999018466514314,0.280636082825464,0.8204655185300752,0.6958916558092239,0.032936811447143555
