Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.46758823529411764,0.9689343390387777,0.4304940923737916,0.5961298191337459,0.563225421521784,0.6430560349509408,0.16444833709570023,0.7502173825414258,0.9600340492970978,0.00956106185913086
Extra Trees,0.6263627450980392,0.977890949542002,0.6043071965628357,0.7469943505075249,0.7067589507981755,0.7306929241241145,0.2625770035366405,0.8004165860075549,0.9714560400119492,0.1378462314605713
LightGBM,0.11309803921568627,0.9962349397590361,0.028421052631578948,0.05526546639375078,0.06477564521410528,0.5136487285629805,0.0483734630696689,0.7756650701794615,0.9753824185875696,2.0880990028381348
