Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Inference Time (s)
Logistic Regression,0.5107647058823529,0.9729984232655922,0.47723952738990333,0.6403822317027471,0.6050153796639492,0.6693501007736034,0.19222298599684087,0.7700735955056179,0.9666151510780385,0.011382102966308594
Random Forest,0.10816666666666666,0.9981317141522653,0.022953813104189043,0.04487563129324556,0.055234134310438575,0.5112521874509709,0.04430317569508632,0.8531400529815711,0.9838993397181911,0.13774919509887695
Extra Trees,0.3464607843137255,0.9794364051789795,0.2900751879699248,0.4475897673878995,0.4259869747910186,0.6131836614006927,0.14383888605632594,0.8530669390168839,0.9758532212559339,0.12722206115722656
XGBoost,0.13845098039215686,0.9973333333333333,0.056240601503759396,0.10647686832740214,0.11186389336055531,0.527333783897947,0.06982234931973341,0.402385419809556,0.8951233966035388,0.6981430053710938
LightGBM,0.10686274509803921,0.995049504950495,0.02158968850698174,0.04226240538267451,0.052823445490439866,0.5102330465006819,0.041454581600359065,0.4843278865301295,0.9236042664077292,1.9388549327850342
MLP (PyTorch),0.2977156862745098,0.9968062948391576,0.23132116004296455,0.37550237565929995,0.35999643388149305,0.6117841755271003,0.15441465390400777,0.6512609722540702,0.9580794751998426,0.21124601364135742
SVM (Linear),0.5059607843137255,0.9683716441480962,0.47422126745435017,0.6366625328065065,0.6010391616548635,0.6560993977721189,0.17720925273542867,0.7525418862163433,0.9615642727337703,0.02883315086364746
